     c cost:                                                                           opt  /lb      rc2comp     opt  /lb     maxres     
     parkinsons_test_1_CNF_4_1.wcnf.gz                                                 14   /-1    0.0008      14   /-1    0.0011    
     credit_train_1_DNF_3_1.wcnf.gz                                                    -1   /1614  3600        -1   /130   3600      
     titanic_train_5_DNF_2_1.wcnf.gz                                                   237  /237   1.8422      237  /237   2.1104    
     transfusion_train_4_DNF_5_1.wcnf.gz                                               170  /170   0.2822      170  /170   0.2811    
     ilpd_train_9_CNF_5_1.wcnf.gz                                                      151  /151   230.5731    151  /151   1374.9532 
     adult_test_9_CNF_1_1.wcnf.gz                                                      2363 /-1    0.0133      2363 /-1    0.0132    
     titanic_test_5_CNF_1_1.wcnf.gz                                                    36   /-1    0.0006      36   /-1    0.0006    
     adult_test_7_DNF_1_1.wcnf.gz                                                      2350 /-1    0.0115      2350 /-1    0.0191    
     parkinsons_train_6_DNF_3_1.wcnf.gz                                                12   /12    4.4199      12   /12    5.7933    
     parkinsons_test_6_CNF_5_1.wcnf.gz                                                 17   /-1    0.0014      17   /-1    0.0009    
     3col120_5_4.shuffled.cnf.wcnf.gz                                                  122  /122   1.1473      122  /122   1.4696    
     3col100_5_9.shuffled.cnf.wcnf.gz                                                  94   /94    0.0923      94   /94    0.0738    
     3col120_5_1.shuffled.cnf.wcnf.gz                                                  123  /123   0.7625      123  /123   0.8422    
     3col100_5_10.shuffled.cnf.wcnf.gz                                                 94   /94    0.072       94   /94    0.0728    
     ezfact32_2.shuffled.cnf.wcnf.gz                                                   364  /364   0.0691      364  /364   0.0683    
     3col120_5_5.shuffled.cnf.wcnf.gz                                                  112  /112   0.8921      112  /112   0.8132    
     3col80_5_4.shuffled.cnf.wcnf.gz                                                   73   /73    0.0222      73   /73    0.0216    
     3col100_5_5.shuffled.cnf.wcnf.gz                                                  86   /86    0.0909      86   /86    0.0916    
     3col120_5_3.shuffled.cnf.wcnf.gz                                                  119  /119   1.1213      119  /119   0.9039    
     3col120_5_7.shuffled.cnf.wcnf.gz                                                  120  /120   1.2847      120  /120   0.969     
     3col80_5_1.shuffled.cnf.wcnf.gz                                                   79   /79    0.0131      79   /79    0.0132    
     3col80_5_10.shuffled.cnf.wcnf.gz                                                  75   /75    0.0149      75   /75    0.0149    
     20-500-81.wcnf.gz                                                                 176  /176   12.4557     176  /176   11.5091   
     20-500-83.wcnf.gz                                                                 176  /176   5.1341      176  /176   6.2229    
     20-500-64.wcnf.gz                                                                 167  /167   8.151       167  /167   7.3598    
     20-500-43.wcnf.gz                                                                 171  /171   36.3862     171  /171   16.6077   
     20-100-p100-49.wcnf.gz                                                            -1   /63    3600        -1   /69    3600      
     20-100-p100-54.wcnf.gz                                                            -1   /68    3600        -1   /70    3600      
     20-100-frag12-85.wcnf.gz                                                          42   /42    567.437     42   /42    866.9169  
     20-100-frag12-91.wcnf.gz                                                          43   /43    1014.8381   43   /43    1329.0051 
     20-100-frag12-13.wcnf.gz                                                          -1   /38    3600        -1   /37    3600      
     20-100-frag12-97.wcnf.gz                                                          42   /42    1791.0726   42   /42    2575.7526 
     20-100-lambda100-48.wcnf.gz                                                       -1   /67    3600        -1   /72    3600      
     20-100-lambda100-96.wcnf.gz                                                       -1   /72    3600        -1   /58    3600      
     haberman.wcnf.gz                                                                  -1   /146   3600        -1   /120   3600      
     schizo.wcnf.gz                                                                    86   /86    3.813       86   /86    3.9866    
     mux6.wcnf.gz                                                                      24   /24    0.0044      24   /24    0.0045    
     auto.wcnf.gz                                                                      114  /114   13.2135     114  /114   12.7011   
     appendicitis.wcnf.gz                                                              56   /56    0.287       56   /56    0.3218    
     titanic.wcnf.gz                                                                   7    /7     0.0013      7    /7     0.0015    
     promoters.wcnf.gz                                                                 92   /-1    0.0061      92   /-1    0.0062    
     irish.wcnf.gz                                                                     11   /-1    0.0047      11   /-1    0.0048    
     dermatology.wcnf.gz                                                               40   /40    279.4571    40   /40    123.2571  
     biomed.wcnf.gz                                                                    114  /114   26.0034     114  /114   35.075    
     heart-c.wcnf.gz                                                                   -1   /192   3600        -1   /120   3600      
     uci_mammo_data.wcnf.gz                                                            58   /58    879.5904    58   /58    2150.9707 
     SAT11__application__manthey__traffic__traffic_r_sat.cnf.wcnf.5.wcnf.gz            5    /5     95.5618     5    /5     120.1363  
     SAT11__application__jarvisalo__AAAI2010-SATPlanning__aaai10-planning-ipc5-pipesw  1    /1     29.4227     1    /1     405.9227  
     SAT04__industrial__vangelder__cnf-color__abb313GPIA-9-tr.used-as.sat04-321.cnf.w  25   /25    90.2423     25   /25    79.3722   
     SAT11__application__fuhs__AProVE11__AProVE11-12.cnf.wcnf.3.wcnf.gz                237  /237   20.3506     237  /237   20.5476   
     teams20_l10a.cnf.wcnf.gz                                                          24   /24    218.8875    24   /24    204.6764  
     SAT11__application__jarvisalo__smtqfbv-aigs__smtlib-qfbv-aigs-rfunit_flat-64-tse  17   /17    86.1598     17   /17    83.1755   
     SAT11__application__leberre__2dimensionalstrippacking__E05F18.cnf.wcnf.7.wcnf.gz  61   /61    252.7508    61   /61    211.3864  
     SAT04__industrial__velev__pipe-sat-1-1__12pipe_bug4_q0.used-as.sat04-723.cnf.wcn  57   /57    1262.9729   57   /57    1327.4948 
     SAT11__application__manthey__traffic__traffic_r_sat.cnf.wcnf.6.wcnf.gz            120  /120   746.6257    120  /120   889.4351  
     normalized-g9x3.opb.msat.wcnf.gz                                                  7    /7     0.0009      7    /7     0.001     
     normalized-g9x9.opb.msat.wcnf.gz                                                  20   /20    0.0146      20   /20    0.0356    
     normalized-g2x2.opb.msat.wcnf.gz                                                  2    /2     0.0002      2    /2     0.0002    
     normalized-par8-2.opb.msat.wcnf.gz                                                350  /350   0.0056      350  /350   0.0054    
     normalized-par8-1.opb.msat.wcnf.gz                                                350  /350   0.0066      350  /350   0.0044    
     normalized-aim-200-3_4-yes1-1.opb.msat.wcnf.gz                                    200  /200   0.0071      200  /200   0.007     
     normalized-par16-4.opb.msat.wcnf.gz                                               1015 /1015  0.2024      1015 /1015  0.1953    
     normalized-hanoi4.opb.msat.wcnf.gz                                                718  /718   0.1777      718  /718   0.1729    
     normalized-par8-3.opb.msat.wcnf.gz                                                350  /350   0.0051      350  /350   0.0049    
     normalized-par16-2.opb.msat.wcnf.gz                                               1015 /1015  0.4521      1015 /1015  0.3697    
     normalized-aim-200-6_0-yes1-2.opb.msat.wcnf.gz                                    200  /200   0.0099      200  /200   0.0071    
     normalized-par16-1.opb.msat.wcnf.gz                                               1015 /1015  0.2995      1015 /1015  0.307     
     frb30-15-1.partial.wcnf.gz                                                        420  /420   3.0348      420  /420   2.9884    
     frb25-13-3.partial.wcnf.gz                                                        300  /300   0.0436      300  /300   0.08      
     frb25-13-4.partial.wcnf.gz                                                        300  /300   9.387       300  /300   1.1344    
     frb20-11-1.partial.wcnf.gz                                                        200  /200   0.0068      200  /200   0.0108    
     frb25-13-5.partial.wcnf.gz                                                        300  /300   0.2341      300  /300   0.2254    
     frb20-11-4.partial.wcnf.gz                                                        200  /200   0.3182      200  /200   0.1592    
     frb30-15-2.partial.wcnf.gz                                                        420  /420   0.3491      420  /420   0.7319    
     frb35-17-5.partial.wcnf.gz                                                        560  /560   7.1776      560  /560   1.1764    
     frb20-11-3.partial.wcnf.gz                                                        200  /200   0.0165      200  /200   0.0189    
     frb30-15-5.partial.wcnf.gz                                                        420  /420   0.1334      420  /420   0.5107    
     frb25-13-2.partial.wcnf.gz                                                        300  /300   0.1021      300  /300   0.0469    
     frb35-17-4.partial.wcnf.gz                                                        560  /560   2.0732      560  /560   0.4513    
     rev66-32.wcnf.gz                                                                  -1   /-1    3600        -1   /-1    3600      
     rev44-6.wcnf.gz                                                                   11   /11    0.1095      11   /11    0.1003    
     rev66-18.wcnf.gz                                                                  -1   /-1    3600        -1   /-1    3600      
     rev66-22.wcnf.gz                                                                  -1   /-1    3600        -1   /-1    3600      
     rev44-12.wcnf.gz                                                                  2    /2     1.2081      2    /2     1.5272    
     rev66-28.wcnf.gz                                                                  -1   /-1    3600        -1   /-1    3600      
     rev66-16.wcnf.gz                                                                  -1   /-1    3600        -1   /-1    3600      
     rev44-10.wcnf.gz                                                                  5    /5     0.9789      5    /5     1.2581    
     rev66-24.wcnf.gz                                                                  -1   /-1    3600        -1   /-1    3600      
     rev66-2.wcnf.gz                                                                   36   /36    0.0012      36   /36    0.0013    
     rev66-20.wcnf.gz                                                                  -1   /-1    3600        -1   /-1    3600      
     rev44-2.wcnf.gz                                                                   16   /16    0.0008      16   /16    0.0008    
     ctrl.wcnf.gz                                                                      15   /15    0.2173      15   /15    0.236     
     spi.wcnf.gz                                                                       46   /46    8.0958      46   /46    8.4705    
     mrisc_mem2wire.wcnf.gz                                                            5    /5     83.0017     5    /5     93.3249   
     sudoku.wcnf.gz                                                                    13   /13    14.4275     13   /13    15.9502   
     real-5.wcnf.gz                                                                    31589/31589 18.2118     31589/31589 18.1781   
     synthetic-12.wcnf.gz                                                              17989/-1    0.0628      17989/-1    0.0749    
     synthetic-3.wcnf.gz                                                               4311 /-1    0.2355      4311 /-1    0.2355    
     synthetic-5.wcnf.gz                                                               3174 /-1    0.1713      3174 /-1    0.1693    
     synthetic-14.wcnf.gz                                                              5728 /-1    0.196       5728 /-1    0.1965    
     synthetic-21.wcnf.gz                                                              21342/21342 11.4518     21342/21342 11.1152   
     synthetic-7.wcnf.gz                                                               3326 /-1    0.013       3326 /-1    0.0189    
     real-2.wcnf.gz                                                                    368  /-1    0.0424      368  /-1    0.0437    
     synthetic-10.wcnf.gz                                                              14623/-1    0.0589      14623/-1    0.0799    
     real-6.wcnf.gz                                                                    356  /-1    0.0447      356  /-1    0.0448    
     synthetic-15.wcnf.gz                                                              2055 /-1    0.0096      2055 /-1    0.0069    
     synthetic-2.wcnf.gz                                                               11345/-1    0.0477      11345/-1    0.037     
     ram_k3_n19.ra0.wcnf.gz                                                            -1   /3     3600        -1   /3     3600      
     ram_k3_n10.ra0.wcnf.gz                                                            -1   /-1    3600        -1   /-1    3600      
     ram_k4_n20.ra0.wcnf.gz                                                            -1   /-1    3600        -1   /-1    3600      
     ram_k3_n15.ra0.wcnf.gz                                                            -1   /3     3600        -1   /2     3600      
     ram_k3_n9.ra0.wcnf.gz                                                             -1   /-1    3600        -1   /-1    3600      
     ram_k3_n11.ra0.wcnf.gz                                                            -1   /3     3600        -1   /1     3600      
     ram_k3_n12.ra0.wcnf.gz                                                            -1   /3     3600        -1   /3     3600      
     ram_k3_n14.ra0.wcnf.gz                                                            -1   /3     3600        -1   /1     3600      
     ram_k4_n18.ra0.wcnf.gz                                                            -1   /-1    3600        -1   /-1    3600      
     ram_k4_n19.ra0.wcnf.gz                                                            -1   /-1    3600        -1   /-1    3600      
     ram_k3_n18.ra0.wcnf.gz                                                            -1   /3     3600        -1   /2     3600      
     ram_k3_n13.ra0.wcnf.gz                                                            -1   /3     3600        -1   /2     3600      
     g7_n25e24_n28e29_n32e33_n35e34_n37e37_n38e39_n40e39.wcnf.gz                       10   /10    86.6485     10   /10    42.9351   
     g2_n35e34_n58e61.wcnf.gz                                                          -1   /19    3600        -1   /12    3600      
     g4_n47e57_n48e52_n133e169_n141e184.wcnf.gz                                        30   /30    0.5221      30   /30    0.5221    
     g6_n35e48_n39e54_n41e57_n42e58_n53e75_n59e84.wcnf.gz                              33   /33    83.6921     33   /33    71.6761   
     g2_n30e41_n31e38.wcnf.gz                                                          16   /16    119.0985    16   /16    66.1422   
     g2_n41e59_n41e44.wcnf.gz                                                          44   /44    252.2836    44   /44    243.2059  
     g5_n38e52_n45e51_n47e60_n54e68_n57e72.wcnf.gz                                     40   /40    1222.1786   40   /40    173.522   
     g2_n58e76_n72e90.wcnf.gz                                                          40   /40    6.2028      40   /40    4.7829    
     g7_n22e21_n24e23_n45e41_n49e44_n53e61_n54e48_n56e64.wcnf.gz                       6    /6     285.5608    6    /6     217.0784  
     g2_n37e35_n39e39.wcnf.gz                                                          15   /15    420.8529    15   /15    588.4999  
     g2_n57e60_n61e85.wcnf.gz                                                          -1   /43    3600        -1   /42    3600      
     g2_n66e80_n71e77.wcnf.gz                                                          44   /44    66.2107     44   /44    50.2281   
     s38584_nan_explicit_42_0.wcnf.gz                                                  193  /193   55.5517     193  /193   54.5963   
     s38417_nan_explicit_18_0.wcnf.gz                                                  63   /63    0.0742      63   /63    0.076     
     s38584_nan_explicit_46_0.wcnf.gz                                                  172  /172   56.6924     172  /172   55.8437   
     s38417_nan_explicit_14_0.wcnf.gz                                                  55   /55    0.4275      55   /55    0.4197    
     s38584_nan_explicit_24_0.wcnf.gz                                                  177  /177   107.33      177  /177   108.0616  
     s38584_nan_explicit_21_0.wcnf.gz                                                  184  /184   51.487      184  /184   50.9149   
     s38584_nan_explicit_23_0.wcnf.gz                                                  179  /179   163.5259    179  /179   159.3604  
     s38417_nan_explicit_3_0.wcnf.gz                                                   65   /65    0.0618      65   /65    0.0778    
     s38417_nan_explicit_12_0.wcnf.gz                                                  70   /70    0.0497      70   /70    0.0491    
     s38417_nan_explicit_17_0.wcnf.gz                                                  61   /61    0.1643      61   /61    0.1644    
     s38584_nan_explicit_20_0.wcnf.gz                                                  194  /194   165.252     194  /194   174.977   
     s01423_nan_explicit_8_0.wcnf.gz                                                   63   /63    0.0145      63   /63    0.0149    
     formula_0.8_2021_atleast_31_max-4_reduced_incomplete_tree.wcnf.gz                 -1   /-1    3600        -1   /-1    3600      
+++  formula_0.8_2021_atleast_15_max-3_reduced_incomplete_tree.wcnf.gz                 6    /6     2309.7336   -1   /-1    3600      
     formula_0.8_2021_atleast_63_max-5_reduced_incomplete_tree.wcnf.gz                 -1   /-1    3600        -1   /-1    3600      
     formula_0.8_2021_atleast_127_max-6_reduced_incomplete_tree.wcnf.gz                -1   /-1    3600        -1   /-1    3600      
     b20_C-mbd14-0259.wcnf.gz                                                          21   /21    5.2431      21   /21    8.0742    
     b21_C-mbd14-0381.wcnf.gz                                                          21   /21    4.5202      21   /21    9.7937    
     b21_C-mbd14-0374.wcnf.gz                                                          23   /23    4.7914      23   /23    3.6527    
     b20_C-mbd14-0359.wcnf.gz                                                          24   /24    1.8736      24   /24    1.8305    
     b17_C-mbd14-0359.wcnf.gz                                                          24   /24    3.9278      24   /24    3.7882    
     b20_C-mbd14-0238.wcnf.gz                                                          19   /19    1.5495      19   /19    1.828     
     b14_C-mbd14-0329.wcnf.gz                                                          24   /24    55.5673     24   /24    219.677   
     b15_C-mbd14-0240.wcnf.gz                                                          21   /21    94.6849     21   /21    177.8857  
     b21_C-mbd14-0230.wcnf.gz                                                          21   /21    5.0849      21   /21    3.8953    
     b17_C-mbd14-0348.wcnf.gz                                                          20   /20    3.936       20   /20    3.4342    
     b17_C-mbd14-0390.wcnf.gz                                                          26   /26    4.0221      26   /26    5.1616    
     b21_C-mbd14-0347.wcnf.gz                                                          19   /19    1.5584      19   /19    1.6157    
     kbtree9_7_3_5_90_2.wcsp.wcnf.gz                                                   -1   /118   3600        -1   /111   3600      
     kbtree9_7_3_5_30_4.wcsp.wcnf.gz                                                   6    /6     17.6082     6    /6     79.3552   
+++  kbtree9_7_3_5_40_4.wcsp.wcnf.gz                                                   22   /22    1518.5394   -1   /15    3600      
     kbtree9_7_3_5_20_4.wcsp.wcnf.gz                                                   2    /2     0.6852      2    /2     3.3103    
     kbtree9_7_3_5_20_6.wcsp.wcnf.gz                                                   1    /1     0.0847      1    /1     0.1191    
     kbtree9_7_3_5_40_6.wcsp.wcnf.gz                                                   -1   /24    3600        -1   /17    3600      
     kbtree9_7_3_5_70_6.wcsp.wcnf.gz                                                   -1   /60    3600        -1   /43    3600      
     kbtree9_7_3_5_60_4.wcsp.wcnf.gz                                                   -1   /46    3600        -1   /40    3600      
     kbtree9_7_3_5_50_3.wcsp.wcnf.gz                                                   -1   /32    3600        -1   /22    3600      
     kbtree9_7_3_5_30_1.wcsp.wcnf.gz                                                   9    /9     186.2392    9    /9     298.7984  
     kbtree9_7_3_5_40_2.wcsp.wcnf.gz                                                   -1   /23    3600        -1   /16    3600      
     kbtree9_7_3_5_30_5.wcsp.wcnf.gz                                                   6    /6     22.9737     6    /6     113.1712  
     extension-enforcement_strict_com_200_0.05_0_40_1.wcnf.gz                          26   /26    36.9251     26   /26    37.0325   
     extension-enforcement_strict_com_150_0.05_4_30_4.wcnf.gz                          27   /27    26.0769     27   /27    26.5833   
     extension-enforcement_strict_com_150_0.3_3_8_3.wcnf.gz                            19   /19    7.8043      19   /19    6.7011    
     extension-enforcement_non-strict_stb_200_0.05_4_10_0.wcnf.gz                      -1   /4     3600        -1   /3     3600      
     extension-enforcement_strict_com_200_0.1_0_10_1.wcnf.gz                           35   /35    19.6711     35   /35    20.0034   
     extension-enforcement_strict_com_200_0.05_4_20_4.wcnf.gz                          50   /50    71.8667     50   /50    67.0185   
     extension-enforcement_strict_com_200_0.05_4_20_1.wcnf.gz                          33   /33    63.7598     33   /33    72.5868   
     extension-enforcement_strict_com_150_0.1_4_15_1.wcnf.gz                           24   /24    11.4926     24   /24    11.6372   
     extension-enforcement_strict_com_100_0.05_4_20_3.wcnf.gz                          15   /15    4.6396      15   /15    5.9842    
     extension-enforcement_non-strict_stb_150_0.05_1_8_3.wcnf.gz                       -1   /4     3600        -1   /4     3600      
     extension-enforcement_strict_com_200_0.2_2_10_2.wcnf.gz                           16   /16    14.8385     16   /16    14.4656   
     extension-enforcement_non-strict_stb_200_0.1_4_10_2.wcnf.gz                       -1   /6     3600        -1   /4     3600      
     uaq-min-nr-nr50-np400-rpp5-nc0-rs0-t0-plb100-n9.wcnf.gz                           -1   /231   3600        -1   /221   3600      
     uaq-min-rpp-nr200-np400-rpp6-nc0-rs0-t0-plb1-n4.wcnf.gz                           11   /11    0.0136      11   /11    0.0086    
     uaq-min-nc-nr200-np400-rpp5-nc80-rs8-t3-plb10-n8.wcnf.gz                          56   /56    0.0528      56   /56    0.0553    
     uaq-min-rpp-nr200-np400-rpp5-nc0-rs0-t0-plb4-n3.wcnf.gz                           28   /28    0.0175      28   /28    0.0176    
     uaq-min-rpp-nr200-np400-rpp5-nc0-rs0-t0-plb10-n3.wcnf.gz                          47   /47    0.0314      47   /47    0.0319    
     uaq-min-plb-nr200-np400-rpp5-nc0-rs0-t0-plb45-n2.wcnf.gz                          104  /104   969.1324    104  /104   1301.9346 
     uaq-min-plb-nr10-np400-rpp5-nc0-rs0-t0-plb20-n2.wcnf.gz                           340  /340   0.0284      340  /340   0.0291    
     uaq-min-nc-nr200-np400-rpp5-nc40-rs8-t3-plb10-n0.wcnf.gz                          50   /50    0.0379      50   /50    0.037     
     uaq-min-nr-nr50-np400-rpp5-nc0-rs0-t0-plb2-n6.wcnf.gz                             36   /36    0.0172      36   /36    0.0171    
     uaq-max-t-nr1000-np1000-rpp1-nc50-n12-t8-plb10-n0.wcnf.gz                         650  /650   17.8595     650  /650   19.7762   
     uaq-max-nc-nr10-np400-rpp5-nc40-n8-t3-plb10-n0.wcnf.gz                            84   /84    0.0088      84   /84    0.0087    
     uaq-max-t-nr1000-np1000-rpp1-nc50-n12-t6-plb10-n6.wcnf.gz                         750  /750   7.2409      750  /750   6.6819    
     gen_cvc-plus_4_991.wcnf.gz                                                        54   /54    36.9205     54   /54    68.3685   
     gen_cvc-mult4_4_9999.wcnf.gz                                                      -1   /97    3600        -1   /96    3600      
     gen_cvc-mult4_4_991.wcnf.gz                                                       -1   /81    3600        -1   /82    3600      
     gen_cvc-add3-bw3_33.wcnf.gz                                                       500  /500   1.2191      500  /500   1.3502    
     gen_add_5_399.wcnf.gz                                                             446  /446   0.6575      446  /446   0.6495    
     gen_cvc-add3-opt-bw3_299.wcnf.gz                                                  624  /624   0.2628      624  /624   0.2327    
     gen_add_6_991.wcnf.gz                                                             -1   /87    3600        -1   /83    3600      
     gen_add_3_carry_33.wcnf.gz                                                        65   /65    1709.6774   65   /65    409.9852  
     gen_mult_5_5_299.wcnf.gz                                                          3600 /3600  28.6523     3600 /3600  26.472    
     gen_alldiff_3_cook_991.wcnf.gz                                                    17   /17    0.1522      17   /17    0.3892    
     gen_add_5_carry_299.wcnf.gz                                                       948  /948   0.5135      948  /948   0.5258    
     gen_add_5_carry_399.wcnf.gz                                                       560  /560   2.0501      560  /560   2.138     
     meltdown_min.wcnf.gz                                                              69   /69    590.72      69   /69    622.5018  
     spectre_min.wcnf.gz                                                               89   /89    826.279     89   /89    819.2434  
     flush_reload_min.wcnf.gz                                                          45   /45    420.6184    45   /45    475.6839  
     AES1-50-15.wcnf.gz                                                                1    /1     0.1656      1    /1     0.1653    
     AES1-72-29.wcnf.gz                                                                1    /1     1.9127      1    /1     1.9708    
     AES1-60-18.wcnf.gz                                                                1    /1     4.7531      1    /1     4.6762    
     AES2-70-64.wcnf.gz                                                                2    /2     13.7773     2    /2     22.023    
     AES1-70-21.wcnf.gz                                                                1    /1     0.3033      1    /1     0.4639    
     AES2-74-74.wcnf.gz                                                                2    /2     20.2234     2    /2     36.7038   
     AES2-50-54.wcnf.gz                                                                2    /2     0.2139      2    /2     0.211     
     AES1-74-34.wcnf.gz                                                                1    /1     4.3315      1    /1     4.8605    
     AES2-74-75.wcnf.gz                                                                2    /2     12.2935     2    /2     9.5259    
     AES2-50-55.wcnf.gz                                                                2    /2     0.2112      2    /2     0.2195    
     AES2-50-51.wcnf.gz                                                                2    /2     2.3337      2    /2     1.6145    
     AES2-60-58.wcnf.gz                                                                2    /2     5.2451      2    /2     2.7424    
     dividers10.dimacs.filtered.wcnf.gz                                                2    /2     2.5968      2    /2     3.1065    
     c4_DD_s3_f1_e1_v1-bug-gate-0.dimacs.seq.filtered.wcnf.gz                          8    /8     23.6169     8    /8     12.0921   
     dividers5.dimacs.filtered.wcnf.gz                                                 1    /1     2.0774      1    /1     1.8644    
     rsdecoder_multivec1.dimacs.filtered.wcnf.gz                                       4    /4     36.1133     4    /4     63.8154   
     s15850-bug-onevec-gate-0.dimacs.seq.filtered.wcnf.gz                              1    /1     0.4497      1    /1     0.4466    
     c5_DD_s3_f1_e1_v1-bug-onevec-gate-0.dimacs.seq.filtered.wcnf.gz                   1    /1     0.827       1    /1     0.5399    
     c7552-bug-gate-0.dimacs.seq.filtered.wcnf.gz                                      1    /1     0.2227      1    /1     0.2282    
     b15-bug-fourvec-gate-0.dimacs.seq.filtered.wcnf.gz                                4    /4     57.0991     4    /4     7.384     
     fpu7-problem.dimacs_22.filtered.wcnf.gz                                           1    /1     1.6286      1    /1     2.015     
     divider-problem.dimacs_8.filtered.wcnf.gz                                         2    /2     11.3895     2    /2     224.8637  
     rsdecoder-problem.dimacs_39.filtered.wcnf.gz                                      1    /1     18.4413     1    /1     14.3352   
     SM_RX_TOP.dimacs.filtered.wcnf.gz                                                 6    /6     19.8861     6    /6     17.4      
